"region","year","population_nb","population_prop"
"Yukon",1937,0,0
"Yukon",1938,0,0
"Yukon",1939,0,0
"Yukon",1940,0,0
"Yukon",1941,0,0
"Yukon",1942,0,0
"Yukon",1943,0,0
"Yukon",1944,0,0
"Yukon",1945,0,0
"Yukon",1946,0,0
"Yukon",1947,0,0
"Yukon",1948,0,0
"Yukon",1949,0,0
"Yukon",1950,0,0
"Yukon",1951,0,0
"Yukon",1952,0,0
"Yukon",1953,0,0
"Yukon",1954,0,0
"Yukon",1955,1,0.0166666666666667
"Yukon",1956,2,0.0333333333333333
"Yukon",1957,0,0
"Yukon",1958,3,0.05
"Yukon",1959,4,0.0666666666666667
"Yukon",1960,2,0.0333333333333333
"Yukon",1961,2,0.0333333333333333
"Yukon",1962,1,0.0166666666666667
"Yukon",1963,2,0.0333333333333333
"Yukon",1964,2,0.0333333333333333
"Yukon",1965,1,0.0166666666666667
"Yukon",1966,3,0.05
"Yukon",1967,2,0.0333333333333333
"Yukon",1968,13,0.216666666666667
"Yukon",1969,8,0.133333333333333
"Yukon",1970,7,0.116666666666667
"Yukon",1971,10,0.166666666666667
"Yukon",1972,32,0.533333333333333
"Yukon",1973,18,0.3
"Yukon",1974,14,0.233333333333333
"Yukon",1975,13,0.216666666666667
"Yukon",1976,8,0.133333333333333
"Yukon",1977,14,0.233333333333333
"Yukon",1978,8,0.133333333333333
"Yukon",1979,10,0.166666666666667
"Yukon",1980,15,0.25
"Yukon",1981,27,0.45
"Yukon",1982,24,0.4
"Yukon",1983,24,0.4
"Yukon",1984,15,0.25
"Yukon",1985,15,0.25
"Yukon",1986,15,0.25
"Yukon",1987,14,0.233333333333333
"Yukon",1988,14,0.233333333333333
"Yukon",1989,15,0.25
"Yukon",1990,15,0.25
"Yukon",1991,13,0.216666666666667
"Yukon",1992,15,0.25
"Yukon",1993,15,0.25
"Yukon",1994,20,0.333333333333333
"Yukon",1995,18,0.3
"Yukon",1996,17,0.283333333333333
"Yukon",1997,19,0.316666666666667
"Yukon",1998,21,0.35
"Yukon",1999,16,0.266666666666667
"Yukon",2000,4,0.0666666666666667
"Yukon",2001,6,0.1
"Yukon",2002,10,0.166666666666667
"Yukon",2003,11,0.183333333333333
"Yukon",2004,11,0.183333333333333
"Yukon",2005,11,0.183333333333333
"Yukon",2006,9,0.15
"Yukon",2007,3,0.05
"Yukon",2008,3,0.05
"Yukon",2009,0,0
"Yukon",2010,0,0
"Yukon",2011,0,0
"Yukon",2012,0,0
"Yukon",2013,0,0
"Yukon",2014,0,0
"Yukon",2015,0,0
"Yukon",2016,0,0
"Yukon",2017,0,0
"Yukon",2018,0,0
"Yukon",2019,0,0
"Yukon",2020,0,0
"Yukon",2021,0,0
"Yukon",2022,0,0
"Columbia",1926,0,0
"Columbia",1927,0,0
"Columbia",1928,0,0
"Columbia",1929,0,0
"Columbia",1930,0,0
"Columbia",1933,0,0
"Columbia",1934,0,0
"Columbia",1935,0,0
"Columbia",1936,0,0
"Columbia",1937,0,0
"Columbia",1938,0,0
"Columbia",1939,0,0
"Columbia",1940,0,0
"Columbia",1941,0,0
"Columbia",1942,0,0
"Columbia",1943,0,0
"Columbia",1944,0,0
"Columbia",1945,0,0
"Columbia",1946,0,0
"Columbia",1947,0,0
"Columbia",1948,0,0
"Columbia",1949,0,0
"Columbia",1950,0,0
"Columbia",1951,0,0
"Columbia",1952,0,0
"Columbia",1953,0,0
"Columbia",1954,0,0
"Columbia",1955,0,0
"Columbia",1956,0,0
"Columbia",1957,0,0
"Columbia",1958,0,0
"Columbia",1959,0,0
"Columbia",1960,0,0
"Columbia",1961,0,0
"Columbia",1962,0,0
"Columbia",1963,0,0
"Columbia",1964,0,0
"Columbia",1965,0,0
"Columbia",1966,0,0
"Columbia",1967,0,0
"Columbia",1968,0,0
"Columbia",1969,0,0
"Columbia",1970,0,0
"Columbia",1971,0,0
"Columbia",1972,0,0
"Columbia",1973,0,0
"Columbia",1974,0,0
"Columbia",1975,0,0
"Columbia",1976,0,0
"Columbia",1977,0,0
"Columbia",1978,0,0
"Columbia",1979,0,0
"Columbia",1980,0,0
"Columbia",1981,0,0
"Columbia",1982,0,0
"Columbia",1983,0,0
"Columbia",1984,0,0
"Columbia",1985,0,0
"Columbia",1986,0,0
"Columbia",1987,0,0
"Columbia",1988,0,0
"Columbia",1989,0,0
"Columbia",1990,0,0
"Columbia",1991,0,0
"Columbia",1992,0,0
"Columbia",1993,0,0
"Columbia",1994,0,0
"Columbia",1995,0,0
"Columbia",1996,0,0
"Columbia",1997,2,1
"Columbia",1998,2,1
"Columbia",1999,1,0.5
"Columbia",2000,0,0
"Columbia",2001,0,0
"Columbia",2002,0,0
"Columbia",2003,0,0
"Columbia",2004,0,0
"Columbia",2005,0,0
"Columbia",2006,1,0.5
"Columbia",2007,1,0.5
"Columbia",2008,1,0.5
"Columbia",2009,1,0.5
"Columbia",2010,1,0.5
"Columbia",2011,1,0.5
"Columbia",2012,1,0.5
"Columbia",2013,1,0.5
"Columbia",2014,1,0.5
"Columbia",2015,1,0.5
"Columbia",2016,1,0.5
"Columbia",2017,1,0.5
"Columbia",2018,1,0.5
"Columbia",2019,1,0.5
"Columbia",2020,1,0.5
"Columbia",2021,1,0.5
"Columbia",2022,1,0.5
